L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
-2.7421463,0.3770329,1.2112602,-0.06482749,2.7353797,2.8722653,-0.9171315,-2.3963966,2.9696302,0.00112969346500733,0
1.0846821,0.82058746,-0.112432614,-0.98448664,2.655678,2.6934764,-0.8399646,-1.0858647,1.0934676,0.113054609989902,0
2.0357711,2.2641432,1.9740306,1.58668,0.019998658,0.8217272,0.31033146,-0.08827358,0.97057736,0.4814319489687,0
1.833014,2.6184113,2.5292435,2.5768085,0.09739684,0.38929746,-1.3051888,-0.6412697,1.7177792,0.764812356352437,0
0.28114447,0.09172802,2.2797694,1.5409406,0.7702791,0.61099416,-0.34552658,-0.52603036,-0.9670439,0.623688202307342,0.00112969346500733
-6.252975,-3.7385266,1.8662336,0.3705171,0.1176678,-0.056872573,-2.1204562,-1.608438,-2.8814754,0.314716666162195,0.113054609989902
-1.5030682,-0.44378144,2.1206663,1.8820524,0.7190536,1.513125,-1.4574226,-2.1261399,-1.2984238,0.08912400646023,0.4814319489687
0.14032842,0.24977323,1.3907229,1.0633094,-1.0379803,-1.0843531,-0.7878165,-1.568548,-0.5270529,-0.026322119846557,0.764812356352437
-2.2754462,0.58023256,0.051405076,0.11765669,-2.2907789,-1.6575598,-2.6720326,-1.7180147,-0.8070418,-0.0678730126335314,0.623688202307342
-0.88057035,0.3511684,-1.4246315,-0.892216,-1.1249512,-0.7538239,-0.9079307,-0.7898341,-1.4213711,0.0424814257508068,0.314716666162195
-0.66912645,0.14591363,0.911832,0.12543362,0.41999033,0.47029996,-2.6664264,-1.269889,-1.4234151,0.427593487262564,0.08912400646023
-0.54644,-1.993865,0.5139201,1.0865088,0.6319122,-0.2424698,-2.843165,-2.4240625,-0.59262925,0.730724663823271,-0.026322119846557
-1.9799662,-1.6276911,-0.12227266,-0.5716828,-0.34995562,-1.0474718,-1.3091348,-1.7829399,0.57551837,0.60498311448698,-0.0686086797115319
-1.230061,-1.1960413,0.26106566,-2.0249803,0.0030773634,0.6426713,-1.0084702,-2.1171126,-0.94213456,0.305588581429501,0.018287951494262
-3.900272,-3.9310572,-0.2188772,-0.46910402,0.51321274,0.34009594,-2.0685263,-2.8583453,-1.0509276,0.0850892688152043,0.385787297584792
-0.4639774,-0.8863125,0.34805492,0.23203224,-1.0735475,-1.4369938,-0.78922546,-1.3089874,1.7184309,-0.0279603530225438,0.721137546336527
2.0314894,-1.6034724,-1.7022,-0.23502697,-0.9444091,-1.2310746,1.1844062,0.8380158,2.0940316,-0.0695669775650166,0.633117658719495
-4.851739,-0.2134887,-1.7524552,-1.6837375,0.005048673,-0.28243566,-1.8016984,-2.102038,-0.4860591,-0.0706892084778917,0.33462178104407
1.2768636,0.58125675,-2.0644295,-1.539177,0.4587393,-0.42117575,-1.3145062,-2.7809188,0.07181601,-0.0538384617061353,0.102179337479816
-2.7897983,-1.9811409,-3.8920283,-1.8456854,-0.38013673,-0.64122707,-0.87661743,-1.4468554,0.37792975,-0.0336936661421595,-0.0203131616772741
-1.6256921,-2.710206,-5.743068,-3.9855273,-1.4372649,-0.71807307,-2.4683087,-1.8210279,-0.7661086,0.0701560479129954,-0.0675883961668998
