L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
-3.4535599,-2.226984,-1.926316,-0.876598,-1.2895395,-0.033672154,-2.7755582,0.16709958,-0.6397728,0.00112969346500733,0
1.4880992,0.3853434,-3.515197,-1.8069929,-2.3092196,-0.59120715,-0.68759495,0.08955952,-1.2414781,0.113054609989902,0
2.1161506,1.2357665,-0.14313997,-0.4285181,0.8517202,1.4398491,-0.2947833,0.20849016,-0.4121668,0.4814319489687,0
0.0814798,-0.18166812,0.6937606,0.78787696,2.1895182,2.531588,0.35686174,0.7250669,1.2822001,0.764812356352437,0
0.5438504,-0.14672157,2.1166003,1.681641,2.4859242,2.1427402,0.59765977,-0.5524732,1.8375938,0.623688202307342,0.00112969346500733
5.23699,3.6441762,1.3831874,2.9056811,2.3034995,2.452924,0.55415255,1.105281,-0.46703336,0.314716666162195,0.113054609989902
2.4330883,3.4053152,2.5013375,2.9599967,0.5566311,0.20364146,-0.6906697,-0.42873,-1.4121432,0.08912400646023,0.4814319489687
1.2090687,1.36288,1.5062068,2.6289892,-1.3087689,-1.4497675,0.8418296,0.26902387,-0.9151593,-0.026322119846557,0.764812356352437
2.9850483,3.0883038,3.4368584,3.9585323,0.26891607,-1.2160407,1.2182074,1.0303081,0.27266255,-0.0678730126335314,0.623688202307342
3.7314441,3.9149158,3.1292279,3.844654,0.6038929,0.29195866,2.2059276,1.6633556,2.1140578,0.0424814257508068,0.314716666162195
-0.24405603,-1.1691846,1.8606603,4.9601336,0.046112914,-0.03984836,0.646395,-0.6165385,1.3169839,0.427593487262564,0.08912400646023
0.73310775,1.4550478,2.361622,1.8370761,-1.6396075,-0.9311214,0.6415062,-0.25643128,-0.5928788,0.730724663823271,-0.026322119846557
0.8108626,-0.84929156,1.1203989,-1.0245112,-1.8305013,-0.93647206,-0.2343752,-0.7080894,-1.6145257,0.60498311448698,-0.0686086797115319
-0.010790182,-0.6179161,0.660424,-0.04511941,-0.36382136,-0.14085162,0.020391932,-0.64210045,-0.46698585,0.305588581429501,0.018287951494262
-2.3176498,-0.2079695,1.2316998,0.5351892,0.40295213,-0.1886781,-1.0666659,-1.0937579,2.157893,0.0850892688152043,0.385787297584792
1.3340696,1.1960248,0.16235057,1.8173347,-1.1971607,-0.14184411,0.634281,-0.39365128,0.5874068,-0.0279603530225438,0.721137546336527
-2.8958676,-1.6202195,0.2609699,-0.0152019365,-0.896051,-0.8437969,-1.4922168,-1.1347213,-2.0072515,-0.0695669775650166,0.633117658719495
2.5487516,0.2123466,-0.8786919,-0.6260244,0.8820109,1.1399294,-0.25141832,-1.3263804,-0.3763274,-0.0706892084778917,0.33462178104407
-2.1604757,-2.5562785,-1.354291,-0.35305494,1.1859431,1.312978,-2.1544166,-1.312155,-1.3778322,-0.0538384617061353,0.102179337479816
1.7338477,0.085811354,-0.818172,-0.9057733,0.1305148,1.205685,0.7593492,0.22912884,2.1312375,-0.0336936661421595,-0.0203131616772741
0.01870355,1.0552815,-1.3406466,-1.2612448,-0.32754734,0.77072316,1.2885607,0.80805886,1.3825018,0.0701560479129954,-0.0675883961668998
4.285809,1.7271329,-0.11312031,-0.17940652,-0.07441532,1.0093054,0.19739604,-0.40242243,2.1262128,0.430497674558233,-0.0716763696268932
-0.39383292,-0.6367297,0.11831167,-0.24741553,-0.20322035,-0.06764792,0.19004288,0.9423903,-0.37277308,0.751190501220668,-0.055836287526795
-2.162231,-0.53630704,-0.64635026,0.3252482,-0.4063441,-0.23319273,-0.6661185,-1.2433852,-0.16581844,0.65018451336387,-0.0359310696525433
0.12262411,-2.5668366,-0.703981,0.9865972,-1.4956397,0.13038872,-0.7383854,-0.6868078,-2.1693366,0.343579620697293,-0.0199741541584472
-0.2848278,-0.98427093,0.9727638,0.30085072,0.58628047,2.2997954,-0.88624734,-0.91611254,2.213851,0.194959186619403,-0.00985339840531056
-0.6863624,1.3661517,-1.233304,-1.5011034,-1.093795,0.84177464,1.3052503,0.44399396,0.08948641,0.42095083078964,-0.00439562659539399
-1.6263583,-2.4917586,-0.1503098,-1.2311916,-0.55750173,-0.6866336,-0.23538168,-1.1853106,-0.32792988,0.688201114165272,-0.0017990049956025
2.3448877,0.16818824,-0.45403412,-1.4643383,-0.9290169,-1.8145576,1.1524987,0.18185471,-0.5741476,0.58026240115176,-0.000244144339123214
1.0439452,-0.18972237,2.0117733,0.8682643,1.9910977,0.61213064,-0.3552636,-0.19333248,1.2249523,0.287913578249969,0.088717729824707
5.7666707,2.767844,3.1572669,2.685576,2.4972866,1.8349352,3.3317156,1.5726564,2.3996809,0.0702830054722987,0.439625759290927
-2.3094203,-0.91744816,2.2832303,2.036528,2.9366856,1.80046,-0.08237648,0.6339398,2.0880063,-0.0386490826597346,0.755225238865694
3.8334224,2.49845,1.8466941,2.03121,-0.54771864,0.91039824,0.9324564,1.4211049,2.993851,-0.0768775231057326,0.651822746539856
-1.1716616,-0.8356504,-0.61718696,1.137512,-0.8317446,0.21936911,-0.081470184,0.22474135,-0.60886085,-0.0759559719834906,0.34414389216377
2.1486962,-0.78284615,0.47752628,2.1979437,1.3423659,1.6060089,0.69589335,-0.39868104,2.6726153,-0.0576352925223975,0.195075210858199
-0.15816274,0.35924315,-1.4941658,-0.405234,0.2399012,1.3397365,0.24564832,1.3543668,0.6831961,-0.0365692403786734,0.42095083078964
0.9846809,0.5132373,0.041952766,0.26376015,-1.3987818,-0.97144,-0.45521313,-0.80434996,0.38159004,-0.0201175600670973,0.688201114165272
-0.13282987,1.0243746,-0.14849019,0.47862574,-1.0722718,-1.0338299,1.401854,1.1181098,-1.9995712,-0.00985339840531056,0.58026240115176
-2.5876193,-3.6966317,-2.670965,-0.20712025,0.47907302,-0.097432695,-2.9045925,-2.520605,-2.2417626,-0.00439562659539399,0.288307604636975
2.288953,0.23712489,-0.4434391,-0.8622854,1.7275012,0.07682812,-0.30635893,-1.7463819,-0.8474959,-0.0017990049956025,0.159144141205656
-2.5563688,-1.2160238,-0.19247577,-0.5388572,-0.15294977,-2.6433272,-2.081994,-1.3286288,-2.311235,-0.00063817072613008,0.400976676631192
1.1367712,-1.7703629,-1.6133873,0.8029198,-1.6345301,-3.107417,0.09717653,-2.1861699,-2.134492,-0.000143405908650023,0.678347715759961
-4.5251203,-3.9199398,-2.6514862,-1.032674,-1.0568442,-3.0156786,-2.0235698,-1.2437086,-3.632473,0.000394026387006866,0.575866774556366
0.11476674,-3.0933268,-0.7169297,-0.9477775,-0.68894285,-0.9215161,-0.118843615,-1.3506609,-1.8182682,0.0888611357333571,0.286114573254366
1.0800961,0.86423904,-1.1261231,-1.7160909,-0.97296953,-1.6695843,0.8565477,0.09650458,-0.37667057,0.439625759290927,0.0696448347461687
0.51879853,-0.779386,0.9803095,1.2250729,-1.896696,-1.83149,-0.45565256,-0.29280046,-2.15864,0.755225238865694,-0.0387924885683847
1.2888606,0.6067513,-0.08122764,1.5622627,-2.9286046,-2.3598967,1.6479249,0.28495365,-0.92550105,0.651822746539856,-0.0768775231057326
0.02933806,-4.0190167,-2.0255773,1.930035,-0.7987081,-0.93320954,0.16398883,-0.5349398,0.15255177,0.343749865776764,-0.0759559719834906
2.7520647,2.0278351,0.64726126,0.8345015,0.2850928,0.43279937,1.7137424,1.0522258,1.7965649,0.106214075124842,-0.0576352925223975
-0.75597984,-1.3895994,-2.7228699,-0.6264741,1.268234,1.366768,-0.5294351,0.34527346,2.866563,-0.0186749285012874,-0.0365692403786734
-0.38236657,-2.170129,-3.577375,-3.1134436,-0.045895267,1.4645735,0.76888126,0.43714523,1.5589135,-0.067024124700422,-0.0201175600670973
-3.712895,-2.2006586,-1.5920361,-2.5377216,0.82247734,1.4118937,-2.0692024,-0.886277,0.4990004,-0.0711663190010897,-0.00985339840531056
2.7139711,0.1735739,-2.2707605,-3.931419,-0.46343142,0.8713487,1.1337991,0.16559419,1.5891389,0.0330248482065621,-0.00439562659539399
-1.0544264,-0.20219374,-2.6760473,-3.355699,-1.2817934,-0.6546336,-1.275363,-0.027240263,0.12136921,0.403694689638384,-0.0017990049956025
5.6032124,1.9875151,-1.1399283,-2.0659082,-2.8320491,-1.7594984,1.8972365,-0.20478043,0.7361779,0.735251084707246,-0.00063817072613008
-3.0290933,-0.9894433,-1.0999026,-0.6033358,-2.1330094,-2.4383926,-1.251449,-0.82584995,-0.9853667,0.642068939034409,-0.000143405908650023
-0.2649474,-0.39497286,0.018248294,-0.50161994,-0.8017941,-0.16704492,0.3057018,-1.6633898,-1.6323894,0.407286724977848,0
-2.2345297,-1.4135981,0.39811754,0.64902526,1.7862372,0.81789553,0.20631835,0.6908339,-2.2814262,0.502196122881598,0
-0.40529507,-1.5274606,1.1529868,2.529029,3.5031543,2.4436138,0.019015823,-0.99258816,-2.8257318,0.721281017181616,0
-1.0080132,-1.0877523,0.3180129,1.8922119,1.5116951,0.5037969,1.3764944,1.1004598,-3.348886,0.610823708673287,9.95908998626293e-05
0.11707938,-1.3682815,1.131476,0.21411107,1.0940843,0.21567923,-0.003084949,-0.79237497,0.104794145,0.302161415294338,0.0679324857964782
2.4196858,2.2321408,2.9332209,1.6002309,2.2070475,1.0088723,2.5828257,2.7418518,1.9532388,0.0686393396056062,0.397781052752358
3.0773237,1.4278022,2.3912148,2.3105078,1.2635682,0.57755065,2.0553398,1.378425,2.436126,-0.0462036183657257,0.740594116409033
-2.643738,-0.26939407,0.11092809,1.1706346,-1.5265746,-2.2930918,0.15069897,1.0397104,-1.8221763,-0.0845886565309356,0.677991239282359
-1.1872846,0.46198106,-0.75138986,0.36103517,-1.2198194,-2.5557246,-0.23134542,-0.3354773,-1.2939732,-0.0822041711807909,0.373721760682434
-1.3225467,1.794547,-1.0433953,-2.2039149,-0.76913285,-1.6071895,0.10723413,1.0246307,0.5222463,-0.0620952849327039,0.124475627132401
-0.907513,-2.087174,-3.456496,-3.8132107,-0.2554178,0.2345466,-1.3052129,0.5353246,2.9346368,0.028314230344539,-0.0102725487131823
-0.41555655,0.13824958,-2.4047506,-4.97755,-1.5874206,-1.6603674,-0.55167836,0.13307853,1.148643,0.375838897323241,-0.0646145023724884
-1.462062,-1.1839465,-1.720193,-2.947698,-1.0906392,-2.3198433,-1.3034846,-1.1126978,0.30121627,0.729825021079409,-0.0723507727754803
1.0831493,2.374809,-1.2114174,-3.043231,-1.254252,-1.4671855,0.76558036,1.4532914,-0.6126746,0.673306148110175,-0.0577992492371726
-4.0166106,-2.3997676,0.27782682,-0.111239746,1.6978463,0.7519784,-2.5926368,-1.0713072,-0.76020133,0.439680164020501,-0.0378192504563367
0.3451681,0.45065516,0.21629013,-0.032459807,2.3385618,2.3073084,1.0894121,-0.13472973,-1.0799329,0.521537207960989,-0.021303984702987
-2.1214552,-0.9489221,0.29537833,-2.166217,3.0564172,2.334724,-0.0025756753,-0.025211023,-0.34729952,0.730147831467535,-0.0106256894209738
0.027305996,0.3717389,1.3900914,-0.8198544,0.53908825,2.6764607,1.3064237,-0.2909867,0.27758047,0.613376736909871,-0.00478468207204694
-4.0961227,-2.629028,0.95355445,0.32926226,0.7451836,1.8664976,-0.71079,-1.6497024,-1.6604824,0.301370987906954,-0.00197408245841139
1.2301534,-1.2488438,1.8099872,0.74137515,0.6812884,2.8405163,0.20954855,-0.3801852,0.2604731,0.0666763778952286,-0.000719471923770202
-5.3725643,1.7384832,-0.64998746,-1.7257166,-1.573576,0.70288485,0.64508855,1.1140399,0.9578604,-0.0480917991695191,-0.000173736228316282
-1.2297201,1.1008111,-3.039651,-3.6454074,-1.6534615,-0.38013583,0.22935452,0.74591124,2.706608,-0.0859184870754754,9.95908998626293e-05
-0.05137356,0.15361486,-4.4254045,-5.1690726,-0.82930434,-0.969224,-0.6070863,-0.28809962,0.24991634,-0.0829764621964541,0.0679324857964782
0.12697347,0.61713284,-1.717411,-4.0520706,0.52919066,-0.14447759,-1.7171501,-0.4526993,-2.1876411,-0.0625839313092195,0.397781052752358
-1.280478,0.77112705,-0.6500414,-1.1261927,-0.028589098,-1.8136623,-0.1904034,1.6874082,-2.2807875,-0.0397933329147481,0.740594116409033
-2.1317172,-2.1046405,0.13998456,0.5963183,-0.7604052,-0.5326062,-0.22240667,-0.5395442,-1.2832975,-0.0220092062628438,0.677991239282359
2.715269,1.6386396,1.5276667,0.6032324,-1.5975822,-1.4663546,1.471144,0.69115067,0.39092737,0.0394858199747758,0.373721760682434
0.81669337,-0.5287948,-1.6784015,-2.1604943,-1.0876305,-3.817582,-0.69890344,-0.2593304,-1.128202,0.351611829567571,0.124475627132401
2.6163416,1.5775805,2.0608428,0.11094535,2.5718994,1.0799819,-0.48357773,-0.27804708,0.8994992,0.71907859493759,-0.0102725487131823
1.7295992,2.6244316,4.1477437,3.177491,1.8965272,1.2663796,1.2535226,0.13970673,0.74391574,0.701026380792326,-0.0646145023724884
-1.8967865,-1.9418117,1.8323002,2.0620818,1.712219,1.1821456,-1.38078,-0.9907747,-1.8749087,0.404320818855699,-0.0723507727754803
-0.07938684,-0.84138995,1.0949825,0.61486894,1.4441853,0.45349398,0.35796297,-0.67066765,-0.063725755,0.143940502822062,-0.0577849988732592
-5.9306264,-2.9254904,-3.1853034,-3.676383,-0.18509078,-1.4948177,-2.6288462,0.13532086,0.08179882,-0.00107524822739665,0.0124659951677292
-1.2374858,-0.5929245,-2.4773102,-3.2122808,-0.53120506,-1.4892462,-2.5121255,-1.0210423,0.49821985,-0.0617464286556713,0.335092526936631
-0.43192,2.7277362,0.058809727,-2.5157638,-0.18211837,-2.135373,0.017088076,1.7661232,-0.4650171,-0.0729240654145685,0.710426987975028
1.4801545,0.5543496,0.7394606,-0.02413973,-0.9525038,-1.4611121,-0.72978836,1.1003476,0.027939508,-0.0597006197359088,0.69696117064405
-2.7557,-0.18451318,0.07636099,0.08369214,-0.24499707,-1.1205884,0.42555365,2.4710402,0.42522663,0.0105375785697161,0.402520472625603
-1.7075297,-2.5126622,1.1593553,-0.52254325,0.47285774,0.12891452,-0.48976916,0.8711492,1.9504081,0.333701649383773,0.143221030898291
-1.0498931,-0.89438194,-0.29671264,-0.44835064,-2.8224547,-1.495368,0.9860326,1.0747852,0.5621971,0.70960583289146,-0.00124898445571293
-1.6999474,0.06913603,-0.034030132,-0.6616194,-2.6662214,-1.3999913,-0.25632358,-0.88746095,-0.43527982,0.696542220303613,-0.06174590473337
0.23579495,1.6933683,2.0763078,0.49820027,-0.9897575,-0.18325357,2.5317223,2.8667624,1.8683524,0.402329993287279,-0.0370840747994734
-0.005976274,-0.0097801415,2.4483647,3.028049,0.5277214,0.57959956,0.89330906,-0.7107768,0.9846721,0.143131652039639,0.256194251658447
0.8291756,2.0965958,3.4219844,2.7949042,0.2653318,0.36308378,-0.045842696,1.249331,-0.13264349,-0.00128255942059329,0.657110050547762
