L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
0.72186023,-0.09227632,1.6530209,0.90081733,-0.19331639,-0.054126527,2.55332,0.21548939,1.8907237,0.00112969346500733,0
-5.8662643,-2.2515788,0.1736829,-0.6678535,-0.7808063,-0.21676688,-1.4916886,-1.4447069,-0.26856962,0.113054609989902,0
-1.9573494,-1.7442151,1.9326273,1.2925289,0.41533494,0.20554441,-2.2795076,-1.4213746,-0.6896972,0.4814319489687,0
-1.6223966,-3.2368512,2.3439133,0.8477112,1.3584173,0.69096214,0.07810754,0.3619573,1.2184813,0.764812356352437,0
0.14450675,1.4550366,2.4387941,1.1001418,2.0907772,2.6448271,-1.4081533,-0.64412254,2.4640236,0.623688202307342,0.00112969346500733
2.5208778,1.8016863,3.760236,1.3816243,0.7046054,1.4906819,0.5024638,-0.9443197,2.2936494,0.314716666162195,0.113054609989902
0.44162872,2.8447647,3.816053,1.9994973,2.143453,2.9506145,0.86008185,-1.0033406,0.38410333,0.08912400646023,0.4814319489687
1.782498,3.0187948,4.934373,7.0302153,3.2718608,4.217586,1.9522915,0.21410933,2.3073866,-0.026322119846557,0.764812356352437
6.4369764,3.5202074,6.330033,6.3805056,2.981644,2.2721786,1.1677582,1.7621472,4.2165728,-0.0678730126335314,0.623688202307342
4.055951,2.8251882,2.4092894,4.082477,0.97270644,0.49546087,0.91896677,-0.114519835,2.512465,0.0424814257508068,0.314716666162195
2.4382396,2.3861248,3.3869817,1.8012692,0.93930864,0.9359767,0.3439633,-0.98059934,1.8385688,0.427593487262564,0.08912400646023
5.0157924,4.4292035,2.118582,2.238716,3.276559,2.2599864,2.7623866,-0.64314955,1.2422146,0.730724663823271,-0.026322119846557
0.39808357,1.3115671,1.39315,1.7526131,1.0616,0.51482177,0.16684078,0.120182976,-0.34104767,0.60498311448698,-0.0686086797115319
2.5022662,2.7594066,2.277093,1.7680404,1.8024265,1.6094618,0.75617635,0.1646919,0.28012115,0.305588581429501,0.018287951494262
4.0088153,1.4572468,2.78213,2.034234,1.5441931,0.8922118,0.8631777,0.27978894,1.0412712,0.0850892688152043,0.385787297584792
4.917732,3.9705632,3.2637293,3.9533284,-0.049882393,-0.17091446,1.5757655,0.40900338,3.2807662,-0.0279603530225438,0.721137546336527
6.146173,4.352926,1.0226722,2.1124895,-1.1745323,0.2513966,2.0377386,-1.1711943,2.6048567,-0.0695669775650166,0.633117658719495
3.516628,3.2233858,0.21130285,0.051463094,-0.23991428,0.76108634,2.8160627,1.2991977,0.28141367,-0.0706892084778917,0.33462178104407
-0.5271184,0.77241707,-0.76412946,-1.38418,0.6128591,0.037766855,-0.17389369,-0.559823,-0.63115346,-0.0538384617061353,0.102179337479816
-0.7602144,-2.2797437,-1.0950301,-2.5461223,0.93882143,0.28896147,-0.50074595,-0.5929615,0.078635804,-0.0336936661421595,-0.0203131616772741
0.5688201,0.35262084,-3.4063993,-4.0368114,-2.3241167,-0.19892181,-1.6361443,-1.528452,0.5296133,0.0701560479129954,-0.0675883961668998
1.9688611,0.8183181,-1.0576122,-2.0703146,-5.6877036,-2.1309798,-0.1873179,-1.3768843,2.8104043,0.430497674558233,-0.0716763696268932
4.0316243,4.397109,0.40445557,-0.018188689,-2.8001323,-1.158911,1.6403075,-0.8041407,2.6027653,0.751190501220668,-0.055836287526795
0.96420777,-0.6014779,2.6555862,2.71895,0.2906483,-0.3591725,0.7867511,0.25448534,0.22091512,0.65018451336387,-0.0359310696525433
0.46483952,-2.2429242,2.1918724,0.37352222,0.27324307,-0.5412308,-0.9862808,-1.2645359,0.5631312,0.343579620697293,-0.0199741541584472
2.935886,3.4965835,1.1148788,-0.3816925,-2.0245013,-1.8749864,3.3598335,-1.2141439,3.2245831,0.194959186619403,-0.00985339840531056
2.8862216,2.2479947,-0.805866,-1.0925652,-1.112461,-2.2803454,1.6517152,-0.1719881,-0.46945488,0.42095083078964,-0.00439562659539399
