L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
0.03165235,0.05824699,-2.8948083,-1.1410317,0.52683175,0.2641309,-1.7687054,0.1394761,0.56926805,0.00112969346500733,0
-1.5297465,-2.0986607,-3.8275042,-2.6856244,-0.08700728,-0.03277701,-2.9474545,-2.4193811,-0.88481146,0.113054609989902,0
1.2342979,2.833717,-2.486766,-1.0375558,-1.0028219,-1.1318702,-2.5608764,-2.3711798,-1.1757491,0.4814319489687,0
-1.1022489,1.6232386,0.06491151,2.1166294,-0.4614391,-0.6532923,-0.56953657,-0.6512132,-3.022579,0.764812356352437,0
-1.3737073,-1.1110501,0.2025264,1.7188258,0.2850228,-0.04243379,-1.1911788,-1.5394815,-3.6871305,0.623688202307342,0.00112969346500733
0.508681,-0.5001006,0.9495164,0.44640324,1.5959266,-0.3174974,-2.1998386,-2.481867,-2.2449362,0.314716666162195,0.113054609989902
2.2431405,1.4144205,0.8996311,1.8177128,0.6998673,-0.16173492,-0.32271034,-1.3230771,-2.4281204,0.08912400646023,0.4814319489687
1.468723,1.3706081,0.08412074,1.9596659,-1.5273297,-0.49747804,1.1854757,0.38747624,-1.5337595,-0.026322119846557,0.764812356352437
-1.311611,-0.5958232,2.3272045,2.5221055,-1.0386293,-1.2324924,-0.25950164,0.3862666,-2.7159376,-0.0678730126335314,0.623688202307342
2.6121972,3.1817925,2.6718493,3.0157402,1.624107,1.8407458,0.99971265,0.96858513,2.7453918,0.0424814257508068,0.314716666162195
4.376243,1.8701234,0.71180916,3.7173252,0.7543896,1.6894671,0.101982206,-0.122036375,2.414173,0.427593487262564,0.08912400646023
1.8207597,-0.42368895,-3.064638,0.6130991,-0.592281,-0.6596255,-0.15071973,0.07087105,-3.0922728,0.730724663823271,-0.026322119846557
-5.67555,-3.5091672,-2.9660866,-1.5232362,0.91993815,0.30560267,-1.1577337,-2.073868,-4.103252,0.60498311448698,-0.0686086797115319
-2.254701,0.32201955,-1.2737832,-1.1244048,1.2844633,1.115491,-2.0505352,-0.9644904,-1.6107072,0.305588581429501,0.018287951494262
-0.6859223,0.1948739,-1.6361685,-1.6200671,-1.9145113,-0.9168542,-0.3213132,-1.416289,-0.7173528,0.0850892688152043,0.385787297584792
0.622501,0.6212994,-1.5102732,-0.9276558,-3.468143,-1.6991974,-0.80819714,-0.53043985,-0.63971037,-0.0279603530225438,0.721137546336527
-2.595703,-2.6129887,-2.34922,-1.0869272,-0.6501863,-0.9888254,0.62850165,0.32011497,-0.4825111,-0.0695669775650166,0.633117658719495
-3.985504,-2.1806111,0.74151886,0.6590001,1.926944,0.38659608,0.36922744,-0.09521277,0.41587642,-0.0706892084778917,0.33462178104407
-4.3161335,-4.0220413,-1.9568034,-2.1241252,0.58121437,0.9015808,-1.7289965,-2.4140692,-0.062371824,-0.0538384617061353,0.102179337479816
-1.1497221,2.3924787,-2.2137203,-2.673304,-0.21700752,0.6580713,-2.8954217,-1.7823395,-1.4419293,-0.0336936661421595,-0.0203131616772741
2.3184645,-1.5441908,-1.6620427,-2.7209551,0.9584283,1.3927168,-0.11936139,1.176451,1.2308776,0.0701560479129954,-0.0675883961668998
1.8872421,0.26913944,0.8427597,-0.58053225,1.9664149,0.6152258,0.62054175,1.8670046,2.4484997,0.430497674558233,-0.0716763696268932
0.7518796,-0.2091966,1.2264687,1.275486,-0.1789385,0.39841497,-0.04547054,0.41991317,-0.10829806,0.751190501220668,-0.055836287526795
-2.9041946,-1.7351518,-0.2648231,0.012239904,-1.776785,-0.5016488,-1.1362988,-1.3683544,-1.2441518,0.65018451336387,-0.0359310696525433
0.67050165,-0.48729748,-3.443614,-2.353454,-0.62862885,-0.6735563,-1.3051869,-1.207213,-2.2873523,0.343579620697293,-0.0199741541584472
0.10910243,-2.418015,-3.641938,-2.8705225,-0.3280738,-0.99352336,-2.3048055,-2.4201875,0.8678312,0.194959186619403,-0.00985339840531056
-0.47004816,-1.461827,-2.8441665,-1.7560942,-1.4809524,-0.18606211,-1.6856927,-2.1284566,0.34426567,0.42095083078964,-0.00439562659539399
0.97446996,-0.7556393,-0.22608258,0.6289768,-1.0731559,-1.3579695,0.5422965,0.47974515,0.07246181,0.688201114165272,-0.0017990049956025
0.022538573,-0.28159472,2.7162204,2.876432,-0.9362895,-0.42429554,0.6766125,0.21265279,-0.8458665,0.58026240115176,-0.000244144339123214
0.6800741,0.5674501,1.599929,1.5030946,-0.43535843,-0.7005731,0.37871832,-0.09326309,-0.5627871,0.287913578249969,0.088717729824707
-0.058839478,-0.13112414,-0.62964433,-1.6347699,-1.3060166,-1.0035485,0.07671561,0.8678792,0.39803717,0.0702830054722987,0.439625759290927
3.0365665,1.8072065,1.715002,0.18149343,-1.3290752,-0.5492435,0.74513155,1.3360807,2.2108266,-0.0386490826597346,0.755225238865694
2.1556404,0.19791763,4.11043,2.7607548,0.9404358,1.7557893,1.0865146,2.6901636,3.8383179,-0.0768775231057326,0.651822746539856
1.1149517,-1.4054186,1.744138,4.1381793,0.93807167,0.54019266,1.6440003,1.7089541,0.8031704,-0.0759559719834906,0.34414389216377
-1.1860929,-3.544469,-1.665123,0.35811353,-0.1630656,-1.6268611,1.1193205,0.11598045,-0.944968,-0.0576352925223975,0.195075210858199
-1.1439412,-1.8620911,1.0662423,0.35327652,0.09797794,-1.2453704,1.8214259,-0.12640612,0.2112246,-0.0365692403786734,0.42095083078964
-3.214216,-2.3047123,0.7468272,-0.44513887,-0.66261536,-0.9051432,-0.38279533,-0.5076155,-1.4402359,-0.0201175600670973,0.688201114165272
-4.041887,-3.771144,-1.6507158,-1.4652662,-0.69319904,-0.27972153,-0.50566894,0.13117425,-1.6616877,-0.00985339840531056,0.58026240115176
0.00026393853,1.3040912,-0.020913195,-0.29732037,1.7512869,2.1260397,-0.90134555,-1.6241524,-0.3645087,-0.00439562659539399,0.288307604636975
2.1015863,2.9150403,1.2456083,-0.055980396,2.7677405,1.0245209,-1.6700695,-0.3383052,0.010213337,-0.0017990049956025,0.159144141205656
1.2384129,2.4069426,-3.0386524,-0.7228972,0.19999756,-0.9592805,-1.6614703,0.23813193,-2.247492,-0.00063817072613008,0.400976676631192
-2.287483,-2.369012,-3.4400995,-2.0044942,-1.0017997,-2.2294893,-0.9067782,0.26750997,-3.940241,-0.000143405908650023,0.678347715759961
1.0505255,1.4621753,0.31079614,-2.529207,-0.5140393,-0.6137762,-0.37312078,0.22512382,-1.9703532,9.95908998626293e-05,0.575866774556366
2.3293633,4.5790763,3.999192,3.3268118,1.9586672,2.5213535,3.251747,3.3862667,2.774963,0.0679324857964782,0.286114573254366
1.5076084,-3.1254497,4.093838,2.5345128,0.56778437,0.52905804,3.4772706,2.4462311,3.0187695,0.397781052752358,0.0696448347461687
3.2184005,2.0450232,5.020513,1.5128558,-0.39130345,-0.45231634,0.7849637,1.4591395,2.1739528,0.740594116409033,-0.0387924885683847
0.73392373,0.6857346,3.4159422,1.8000679,-1.9289439,-0.7650011,1.1551052,1.4532238,0.71987253,0.677991239282359,-0.0768775231057326
-0.40143982,-0.5545058,1.8660579,0.024588605,0.9576892,1.2511976,1.4093878,0.3120138,2.1117158,0.373721760682434,-0.0759559719834906
0.0075753625,-1.0090322,1.9919541,0.5166931,2.994837,2.07565,1.7203683,0.9908044,3.5166483,0.124475627132401,-0.0576352925223975
-0.9088534,-1.5409404,-1.0423064,-1.9606221,1.1806232,-0.09019119,-0.39757502,-0.40334696,2.5761633,-0.0102725487131823,-0.0365692403786734
0.6776766,0.5581045,-3.4554727,-4.905824,-1.0653892,0.27309495,-0.23367795,1.27309,4.448368,-0.0646145023724884,-0.0201175600670973
4.193202,3.2226257,-3.009265,-3.8724384,-1.1430082,0.41672078,-1.34669,1.2871733,4.481699,-0.0722511818756177,-0.00985339840531056
-3.7824,-2.416425,-4.3716497,-4.2992926,-1.1143271,-0.14232345,-2.6881356,-0.8281545,-1.4436771,0.0101332365593056,-0.00439562659539399
-1.1722008,0.5695247,-0.7496594,-1.0900614,0.24078983,0.6627101,-1.4346737,-0.4705404,-2.1112523,0.359961802296021,-0.0017990049956025
-1.2010555,-0.30166858,2.3801444,0.5518903,-1.0945894,-0.36842108,-1.5690516,0.19883758,0.28159672,0.719290131706046,-0.00063817072613008
1.6339946,2.047376,0.02166397,1.4721297,-2.3246107,-1.3837762,-0.93432486,-0.15178424,1.23235,0.667465140761248,-0.000143405908650023
-4.170007,-4.4904857,-0.8641588,0.34191015,0.21959332,0.046257786,0.15479772,-0.23417078,-2.087791,0.436869564406866,0
-2.323122,-2.9569156,0.476581,0.1168896,0.6057549,0.0624563,-0.27210233,-1.5377338,-2.27198,0.520282597426348,0
-2.2395515,0.3266533,0.11419575,1.1716853,0.56200147,-0.44561693,1.268953,2.1316442,0.009084866,0.729602095772081,0
-1.0198852,-2.723112,1.0135294,0.84880555,-0.3980283,-0.45854384,-0.00018332567,-1.0283896,-1.7763146,0.613203000681555,9.95908998626293e-05
1.0814377,-2.4454956,-1.0246371,-1.9404355,-0.64592165,-0.6268109,0.51786286,-0.35195237,-1.6332129,0.301370987906954,0.0679324857964782
0.8809855,-1.2214506,-1.949522,-3.2617846,0.33760574,0.70128053,0.93073267,0.47272027,0.2037443,0.0666763778952286,0.397781052752358
-3.4851468,-3.8069298,0.43809244,0.5315416,1.311726,1.1737893,1.8809886,1.9444504,-0.3711813,-0.0480917991695191,0.740594116409033
-1.7861911,-4.2138376,4.056174,2.7759404,-0.032121595,0.1608622,0.83781993,-0.13793562,-1.2693696,-0.0859184870754754,0.677991239282359
1.770753,4.01616,4.389103,1.8383813,2.3832028,1.5120124,3.4774785,2.7490897,0.40243232,-0.0829764621964541,0.373721760682434
3.7063951,5.109252,4.5814066,3.8671834,3.6828122,1.6532104,2.3159833,2.1314085,1.6019266,-0.0624843404093569,0.124475627132401
-3.9496777,-3.630989,-0.22629204,1.1238139,1.217612,0.6427107,-0.69021004,-1.5768614,-2.123048,0.0281391528817301,-0.0102725487131823
2.0865557,2.4263897,-1.3347704,-2.0201678,-1.3887017,-0.14206113,-2.6471012,-1.2968951,-3.5952537,0.375757596125601,-0.0646145023724884
-3.8298733,-3.9567082,-2.3182492,-1.106044,-3.3035734,-2.7229464,-0.48156157,-0.8651631,-5.4773326,0.729794690759743,-0.0723507727754803
