L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
6.035331,6.821203,-0.21352136,0.014044457,2.9173787,2.9384255,5.229544,2.943771,2.7968862,0.00112969346500733,0
4.47268,3.36377,0.61337876,-0.7488321,2.5426939,2.8113046,3.9138687,2.0218308,1.4890368,0.113054609989902,0
6.507661,4.1741934,0.9402793,0.9745302,1.8773203,2.985157,4.94578,3.4551842,1.7652727,0.4814319489687,0
6.4361343,4.2822366,2.2906168,1.260583,1.363403,2.7500257,3.9366,0.49559814,2.453395,0.764812356352437,0
9.690046,4.0569468,3.5315797,4.7438836,2.963317,2.1289725,3.5083566,2.4607177,3.0589359,0.623688202307342,0.00112969346500733
9.571186,6.1947517,4.1905103,3.3540962,3.8605022,2.9533072,3.5632672,2.2952483,0.8799871,0.314716666162195,0.113054609989902
7.4227347,3.5170808,3.00569,3.124858,2.9439492,3.392935,2.337164,2.700366,0.28714022,0.08912400646023,0.4814319489687
3.4162977,5.5417895,1.2388417,1.8940926,3.8957002,0.534018,4.1899405,2.3972492,0.36498755,-0.026322119846557,0.764812356352437
4.01341,2.1081667,3.5579286,3.9018548,-0.002034779,-0.8795096,4.030389,2.3376622,2.888958,-0.0678730126335314,0.623688202307342
7.823538,4.501925,3.8887358,4.375984,1.5950556,0.37201068,4.897141,3.0016055,4.0947013,0.0424814257508068,0.314716666162195
5.8407693,3.1754436,2.6609485,0.35163972,2.508236,-0.2138485,2.395766,1.1879001,3.121194,0.427593487262564,0.08912400646023
-2.0591598,-3.3355615,1.5034733,2.8074174,1.5775751,0.8883994,0.7177286,-2.4458039,0.30578813,0.730724663823271,-0.026322119846557
-0.67506546,-0.23347019,-1.025095,-1.0028594,-0.7030398,-0.5627503,-0.007965769,-2.0230377,-2.935598,0.60498311448698,-0.0686086797115319
4.8569565,0.19600165,2.5439918,-2.9736876,0.99376935,0.05284746,-0.56028324,-1.6626263,-1.2786936,0.305588581429501,0.018287951494262
2.560579,1.9588065,1.6130797,-1.0683682,-0.014031326,-0.51238,-0.80610996,-0.62456685,0.3328882,0.0850892688152043,0.385787297584792
-0.6825461,-0.23672165,-2.0756447,-1.0713056,-1.5241836,-0.74265605,-2.199018,-4.124152,-2.411019,-0.0279603530225438,0.721137546336527
-1.2866174,-1.700107,-0.12374513,-0.8861693,-1.3353704,-1.4025439,-2.4111555,-2.3778594,-1.7631762,-0.0695669775650166,0.633117658719495
