L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
0.845273,2.4465332,2.483499,3.4662678,1.2664531,4.124223,-0.94381577,-0.5363652,4.1362653,0.00112969346500733,0
0.24616481,2.651846,2.854125,1.1442348,-0.4804921,2.122703,-0.84297305,0.3693698,2.3237429,0.113054609989902,0
0.4517903,1.2202532,2.1583464,0.98733985,0.89109576,1.9804051,0.8404458,0.40686867,1.8032655,0.4814319489687,0
4.130789,2.6100888,6.611006,5.657659,3.8939166,4.469175,1.7744839,1.2149559,5.153882,0.764812356352437,0
4.336414,1.2796869,9.180854,8.7240095,4.8496966,5.260131,1.0150118,1.6489241,6.324243,0.623688202307342,0.00112969346500733
5.163341,3.1635695,7.821009,7.3499856,3.7518644,4.279241,1.9391887,1.1111323,6.4996305,0.314716666162195,0.113054609989902
5.197369,2.1784062,4.785387,5.7297907,1.6624886,2.4015048,1.7976315,0.7368673,5.195682,0.08912400646023,0.4814319489687
3.687018,3.2408621,3.8669508,5.005612,1.991744,1.9036231,1.0233688,0.093190245,6.3569684,-0.026322119846557,0.764812356352437
2.6796267,1.5473636,3.468046,4.334958,1.5975745,0.53074276,2.109419,1.5930417,4.2554317,-0.0678730126335314,0.623688202307342
3.7491553,0.24077147,1.8972682,1.9731693,2.4254198,1.1166003,0.23655486,-0.91181093,4.4580164,0.0424814257508068,0.314716666162195
1.1145451,-0.2920116,0.86164623,2.0165784,0.6718873,0.31410795,-1.1013882,-3.286078,3.0080326,0.427593487262564,0.08912400646023
0.9592243,0.09187156,1.2674295,2.8000503,-0.10327921,0.8004506,-2.0744972,-3.239165,0.71212554,0.730724663823271,-0.026322119846557
-0.9594107,-1.6254351,-0.037724607,1.8037064,-0.58681846,-0.85034233,-1.710715,-2.2275493,-0.5062359,0.60498311448698,-0.0686086797115319
-0.6886967,0.6394009,-1.3975668,-1.1926394,-0.29989678,-0.8664269,-2.3255696,-2.475931,-1.5685053,0.305588581429501,0.018287951494262
-1.6842545,-0.31004888,-0.9995956,-1.8816442,-1.8699841,-1.7077552,-2.731713,-2.4219606,-3.962092,0.0850892688152043,0.385787297584792
-3.6738956,-3.7714033,-3.0078747,-1.9865518,-2.2500422,-0.62310964,-4.386834,-2.5091684,-3.2358456,-0.0279603530225438,0.721137546336527
-3.0304003,-1.1077576,-3.8716214,-2.696964,-2.758982,-2.0518167,-2.23833,-2.1963727,-3.4582345,-0.0695669775650166,0.633117658719495
-4.002289,-3.9917312,-4.2666197,-2.8079886,-1.2650979,-0.8178992,-4.072575,-2.1941683,-2.7138567,-0.0706892084778917,0.33462178104407
-0.4357172,-1.2745149,-2.0913048,-2.195771,-0.83236337,-0.25145993,-1.6438832,-0.38725665,-2.5334284,-0.0538384617061353,0.102179337479816
-5.0348263,-1.5513451,-2.0292718,-3.26857,-1.8746982,-0.72506803,-3.303924,-1.6462283,-2.764885,-0.0336936661421595,-0.0203131616772741
