L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
-0.30889362,0.81839144,-3.357348,-1.5474054,-2.147416,1.5222583,-1.6319181,1.7365153,-3.8380277,0.00112969346500733,0
-1.6858401,0.3162313,-1.3732424,-1.338027,-1.9577595,-0.75155824,0.72837186,4.4683366,-5.857144,0.113054609989902,0
-3.4888258,0.76049966,-2.2289813,-4.0109134,-3.5752506,-2.6515856,-3.2884984,2.614273,-5.7312455,0.4814319489687,0
-1.3450624,1.0202442,0.24731153,-2.2801263,-0.96696603,-1.2664236,0.08905122,2.7343302,-2.968892,0.764812356352437,0
0.10639202,-0.07120152,3.99704,3.5041783,2.3553364,3.5738342,1.1831136,3.2908568,1.645425,0.623688202307342,0.00112969346500733
4.5341787,3.6052105,6.0123973,3.4413884,1.0896773,2.3704085,3.853185,3.999148,1.1016345,0.314716666162195,0.113054609989902
-1.5646633,0.43638316,4.6097827,1.0819579,0.8259018,1.4351869,2.0105147,2.7039092,0.24465428,0.08912400646023,0.4814319489687
-1.9416118,-1.0062531,2.3438885,2.3601441,0.07952892,0.8009337,0.83588284,1.320434,1.3665226,-0.026322119846557,0.764812356352437
2.8944595,0.09277707,3.120964,3.690317,1.0189518,0.93245673,2.5749729,1.7981379,2.2970555,-0.0678730126335314,0.623688202307342
2.8074508,4.941807,6.112881,3.9379225,2.820084,2.38801,4.5120945,1.8287833,2.8096585,0.0424814257508068,0.314716666162195
-1.9541111,-0.030590864,5.2844872,2.7451632,1.3098369,1.494048,0.2873378,0.41118985,1.2860115,0.427593487262564,0.08912400646023
1.1837331,0.23510607,-0.020471368,0.09674347,0.08933551,1.019989,1.3411369,0.1441867,-0.18526895,0.730724663823271,-0.026322119846557
-2.9328597,-1.3206255,-1.067616,-1.5333271,-1.0719,-0.7526134,-2.44812,-0.53928757,-2.1328852,0.60498311448698,-0.0686086797115319
-0.09678972,0.2486431,0.82664526,0.73568517,0.88821816,1.4553657,-0.2990049,0.40194514,1.3082199,0.305588581429501,0.018287951494262
0.21265301,-0.40827897,3.6193454,0.77686864,0.55200523,2.0808206,1.4063973,0.54082406,0.82888174,0.0850892688152043,0.385787297584792
1.0191373,0.55384654,0.53313696,4.207964,-1.1294558,0.9659869,0.31804246,-0.33794376,0.79163843,-0.0279603530225438,0.721137546336527
-2.7424257,-1.8054563,-0.59994495,0.85770756,-2.3753576,-1.0663242,0.384989,-0.30729958,-1.2214359,-0.0695669775650166,0.633117658719495
1.1942357,0.0019072426,-0.38537103,-0.6194586,-1.5224832,-1.2564043,-0.19062956,-0.89783233,-0.6826467,-0.0706892084778917,0.33462178104407
0.27290902,-0.51811,-0.7137659,0.4293702,1.2400817,2.082645,-0.7826802,-0.7777766,0.67588,-0.0538384617061353,0.102179337479816
3.3989189,-0.6809843,-0.2257544,1.7656609,0.23688823,1.7954777,-0.06988333,-0.063603096,-0.19217862,-0.0336936661421595,-0.0203131616772741
-0.43364942,0.16209349,-3.0541494,-2.2329097,-2.4182353,-1.8314924,-1.233011,-1.8082523,-2.7309327,0.0701560479129954,-0.0675883961668998
-0.46740207,0.55874294,-3.894262,0.27616245,0.52213055,0.24299219,0.16179056,-1.0211383,-0.49929368,0.430497674558233,-0.0716763696268932
0.76511747,1.2827731,1.9999986,4.352513,0.5734996,0.43398166,0.67162865,0.09891686,1.9982052,0.751190501220668,-0.055836287526795
1.2757436,0.56632733,1.0231669,1.248437,-1.1935683,-0.6942047,-0.15624781,-1.0704389,0.4896636,0.65018451336387,-0.0359310696525433
0.51418024,-0.8763088,-0.13335314,-0.8265867,1.461753,1.2164472,-1.2100906,-1.7597963,-1.0198869,0.343579620697293,-0.0199741541584472
-1.3598088,-0.4439453,-1.793779,-0.30833945,1.8113364,2.1416588,-2.194913,-2.5209165,-0.98865014,0.194959186619403,-0.00985339840531056
