L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
8.607503,7.5973916,0.11317851,-1.0081102,-1.483692,-1.3926442,4.914256,4.0462456,-2.1027243,0.00112969346500733,0
5.527182,7.8534536,-0.42683345,-2.4096777,-2.4920084,-2.4773552,4.4888644,4.4561553,-2.1893127,0.113054609989902,0
7.1450887,8.38928,1.8886224,-1.7990106,-0.3695581,-0.6749312,5.8744893,5.6590037,0.18834978,0.4814319489687,0
3.2600362,8.942963,2.641578,0.31165597,1.7067957,1.9393859,5.5214167,4.859496,0.5247228,0.764812356352437,0
2.6945097,8.978787,4.570318,1.2189574,2.8997967,3.8255482,4.833087,5.4247003,-0.73104924,0.623688202307342,0.00112969346500733
7.1467385,7.0324697,4.756868,1.7118868,3.66571,4.3051558,4.1562624,4.1075478,1.324356,0.314716666162195,0.113054609989902
7.82973,7.4432945,7.115294,1.6696473,4.679031,5.5056453,4.7711396,4.7680435,2.7634482,0.08912400646023,0.4814319489687
6.826335,6.9315023,5.3057504,1.7313837,4.0197287,2.831123,5.32685,5.0814776,2.7352707,-0.026322119846557,0.764812356352437
7.426489,6.9375677,5.656362,2.4781358,2.3867698,2.3337886,5.1397634,4.601979,3.0464642,-0.0686086797115319,0.623688202307342
8.079899,8.753151,8.592912,3.0092905,4.650325,4.2126737,5.7735357,4.9107122,5.3757896,0.018287951494262,0.314716666162195
12.573542,9.711595,6.6271214,4.2667465,3.8367484,3.867036,5.447577,3.4476743,3.575203,0.385787297584792,0.08912400646023
4.966598,6.2414694,5.4933567,4.096068,3.5349238,2.6160636,3.73378,2.5999377,3.2781422,0.721137546336527,-0.026322119846557
5.158472,4.277294,1.8400638,1.689913,-0.22127351,0.24372928,1.9501362,0.56748974,0.71824163,0.633117658719495,-0.0686086797115319
7.989398,6.801215,3.4367702,2.1843717,2.697036,2.37261,3.2420862,1.789161,3.1100018,0.33462178104407,0.018287951494262
8.536295,8.41442,4.0569143,1.9357105,2.304903,2.4650838,3.585806,2.916717,3.6427472,0.102179337479816,0.385787297584792
4.4796457,2.2300076,0.50909024,0.19928189,0.8948958,0.90707004,2.1094759,2.698387,4.195637,-0.0203131616772741,0.721137546336527
1.6774327,1.0515475,0.44173416,-0.55702454,-0.48500815,-0.31841817,1.4540163,0.5624136,1.989211,-0.0675883961668998,0.633117658719495
5.443268,2.3314202,4.182973,0.26617968,2.1764817,2.9560945,1.6440784,1.384085,3.5904377,-0.0716763696268932,0.33462178104407
4.262357,1.8434358,2.7210846,0.21017922,2.7429593,3.2160404,0.60077983,0.2551699,0.9066679,-0.055836287526795,0.102179337479816
7.276715,3.6887846,1.6966981,0.018092858,0.725235,2.343708,1.1441698,1.0156658,1.0859416,-0.0355370432655365,-0.0203131616772741
6.924207,5.6829424,0.51996714,-0.8605376,0.29170945,1.7820567,2.0244536,1.2432212,3.1373181,0.0688869815749098,-0.0675883961668998
6.0036497,6.415196,0.14401741,0.67979246,0.063264064,1.0504994,3.0945513,1.4895988,4.6740937,0.429772360885616,-0.0716763696268932
-3.183177,-1.2513592,0.17822391,1.0182871,1.2393337,-0.5390666,0.04549982,1.3995061,3.601607,0.7508296122703,-0.055836287526795
-1.1510699,-1.5786285,-1.4711633,1.3812468,-1.629751,-1.3021759,-2.5014987,-1.7376462,1.1494591,0.650023741544254,-0.0359310696525433
7.2538204,7.3917193,4.027887,1.4536871,-0.5787982,1.921364,3.2711477,1.5710857,1.3529004,0.34350572143764,-0.0199741541584472
12.646872,10.8918295,12.116784,5.200437,6.20593,6.6958747,8.059402,4.8151116,0.6741686,0.194931804949549,-0.00985339840531056
13.968919,10.201464,8.686145,6.176544,2.734772,2.8550951,4.5518527,2.1779594,-0.84142256,0.42095083078964,-0.00439562659539399
-0.5729352,0.362291,1.0484765,1.2291098,-0.742027,-1.1009748,-0.22275878,-0.6286041,0.39323816,0.688201114165272,-0.0017990049956025
-0.6473368,-0.5066459,-1.8157543,0.58442426,-2.1238108,-2.3106844,-0.39506277,-1.5234034,-3.0236614,0.58026240115176,-0.000244144339123214
5.6510434,2.4160845,5.140326,4.156866,-1.8414395,-1.1478249,0.7177606,-1.269965,-0.17570786,0.287913578249969,0.088717729824707
-1.4292756,-3.8338053,-0.11062309,1.4051437,-5.3963127,-4.4364204,-4.054382,-4.304763,-1.5513201,0.0702830054722987,0.439625759290927
-9.397169,-6.5658364,-8.537352,-4.907735,-7.922033,-6.888846,-4.2677693,-3.9289715,-3.7245138,-0.0386490826597346,0.755225238865694
-14.791095,-10.476442,-10.483621,-6.3337636,-5.9341135,-6.580358,-5.34968,-4.024951,-4.706373,-0.0768775231057326,0.651822746539856
-3.7175694,-4.720375,-9.097847,-6.949402,-4.9951053,-4.1468635,-2.1744113,-2.4926894,-3.6479409,-0.0759559719834906,0.34414389216377
-6.5552835,-3.696457,-8.676919,-6.795923,-2.3778331,-2.6660438,-3.259614,-2.5710177,-3.4928398,-0.0576352925223975,0.195075210858199
-1.0734715,-2.726107,-3.3458395,-3.838159,-0.5291381,-0.4534241,-0.8049707,-1.0705205,-2.0607936,-0.0365692403786734,0.42095083078964
-11.745506,-8.470044,-5.0264783,-2.528718,-1.5393331,-2.068475,-4.495764,-2.8876715,-2.8009603,-0.0201175600670973,0.688201114165272
-7.518135,-4.672314,-5.52352,-2.0342596,-2.3303368,-0.66046834,-3.7987165,-3.5848231,-3.4092002,-0.00985339840531056,0.58026240115176
4.490306,0.6016061,1.6122484,1.3929207,1.6980387,2.6310344,0.40860146,-0.5137389,1.0752121,-0.00439562659539399,0.288307604636975
0.5875027,-2.8506644,0.90426755,-0.4795942,2.8139014,2.6858864,-0.6790685,-0.8438318,0.3874152,-0.0017990049956025,0.159144141205656
-1.0490292,-1.3088864,2.7119114,0.37724957,0.7736023,0.8584552,0.68108505,-0.004512648,1.1779679,-0.00063817072613008,0.400976676631192
1.7700607,-0.802823,-0.046850387,0.7998424,-0.5253988,-0.26387867,2.3970325,0.7242186,1.3562328,-0.000143405908650023,0.678347715759961
2.4648898,-1.1836649,2.1436062,3.9349704,-0.22797327,-0.16533762,2.3077202,-0.31763893,1.2102283,9.95908998626293e-05,0.575866774556366
1.8875301,0.6081128,0.6153129,3.0823362,0.060985018,0.084902346,1.3515191,-0.010084318,2.1306906,0.0679324857964782,0.286114573254366
3.4225967,2.2986996,1.3526442,2.3871925,-0.95861703,-0.9184986,3.3632743,1.4033527,0.20120248,0.397781052752358,0.0696448347461687
0.9931648,0.15000108,1.7813822,2.4871554,0.46392512,-1.0286956,0.88776493,1.0873768,2.7853081,0.740594116409033,-0.0387924885683847
-8.720291,-9.135606,-5.575036,-0.57649094,-1.3054407,-2.1813667,-2.655945,-1.433302,0.91221595,0.677991239282359,-0.0768775231057326
-6.776941,-7.105731,-3.9744222,-0.99946374,-0.8302188,-0.7624389,-3.6154306,-3.048101,-0.3254292,0.373721760682434,-0.0759559719834906
-7.093944,-6.3258557,-1.6550606,-0.6640273,1.0354095,1.5217805,-3.7014575,-2.2734888,1.2063111,0.124475627132401,-0.0576352925223975
