L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
-1.596553,0.3311375,-0.5857876,-0.7594465,-0.07325388,0.9533674,-0.8932032,-0.13458587,-1.5464312,0.00112969346500733,0
0.39165938,-0.42573363,0.04353158,-1.7802932,0.1630453,0.6250803,-2.3132377,-0.055680487,-2.9295764,0.113054609989902,0
-2.91007,-1.8433183,-1.116212,-2.4846299,-0.515049,-0.15709086,-1.1843824,0.6679305,-1.5362861,0.4814319489687,0
-0.7265906,0.7450484,0.872483,-0.36327595,-0.08213639,-0.24023299,0.78424317,0.35154167,0.45015728,0.764812356352437,0
0.64031935,-0.51777524,2.7674272,2.1525729,1.4533162,0.44846997,1.1300248,0.6304471,0.9078998,0.623688202307342,0.00112969346500733
0.11965602,3.0646396,1.0100286,0.6821834,2.6877346,1.3968818,1.6631546,1.0952348,0.12495647,0.314716666162195,0.113054609989902
2.5871587,-2.4719942,2.3620036,0.56347543,2.4094532,1.373205,0.18395555,2.120023,-0.7959525,0.08912400646023,0.4814319489687
0.6463758,-0.45505515,1.6163229,0.9126589,-0.9459702,-0.71964574,2.38512,1.2495161,1.1874692,-0.026322119846557,0.764812356352437
5.474825,0.3118832,4.163612,2.266428,-0.19697118,-0.54671913,0.7982802,1.3143051,1.7580005,-0.0678730126335314,0.623688202307342
3.2026823,4.816918,1.4452751,1.4367106,0.8662332,0.22936246,0.75622475,0.21085626,0.55209714,0.0424814257508068,0.314716666162195
1.3447404,3.518378,-0.40978116,-0.78750145,0.47882578,-0.17780858,-1.0738354,-1.1267092,-3.8129196,0.427593487262564,0.08912400646023
0.054846175,-2.55992,-0.60077405,-1.0759342,-0.42692578,-0.7476014,-1.4708632,0.12160846,-2.0913317,0.730724663823271,-0.026322119846557
-1.223214,0.14749417,-1.8034855,-0.9897486,-0.5283501,-1.4533162,-0.39048812,-0.4794862,-0.009219488,0.60498311448698,-0.0686086797115319
4.2797914,1.2775277,1.3258337,-0.3683944,1.263923,-0.014612642,0.44420093,0.29941913,-1.0842056,0.305588581429501,0.018287951494262
-0.14028051,2.5266087,0.740309,0.3875155,1.373223,0.56001246,-0.11059203,0.8700889,-0.11488417,0.0850892688152043,0.385787297584792
-4.802956,0.29949993,-0.11084005,1.7076457,0.5841216,0.55211353,1.028124,0.39370054,2.7033837,-0.0279603530225438,0.721137546336527
