L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
1.5975378,1.9389944,-2.6242301,-1.2013081,-1.0320139,0.6201893,-1.3070908,-1.0120713,-0.4888173,0.00112969346500733,0
1.0587351,0.18029487,-2.1997592,-0.4184686,-1.3199143,-0.6949645,-1.5066904,-0.84581804,1.4298687,0.113054609989902,0
1.1234837,1.5168337,-0.38075647,1.277215,0.7882326,-1.0841472,-0.47128668,-1.0313302,-1.2748054,0.4814319489687,0
-0.20230077,0.2581343,2.7429338,1.0860496,1.2529185,1.5424458,-0.021749156,-1.0368418,0.2189066,0.764812356352437,0
1.9748741,-2.0243747,3.8236563,2.6655266,-0.6502225,0.8425845,-0.5820728,-1.0082353,-3.4877846,0.623688202307342,0.00112969346500733
3.4538229,3.3002589,4.615311,2.4651852,1.3487991,2.713108,0.20764646,0.026253626,2.448022,0.314716666162195,0.113054609989902
1.0570334,1.7379881,3.301503,3.170044,1.0768927,1.7668872,-0.82597154,0.23015411,1.7997416,0.08912400646023,0.4814319489687
-0.34567383,1.4792886,1.0580055,0.33055893,-0.19125424,-0.4014216,-0.82507753,0.14817208,-1.2986909,-0.026322119846557,0.764812356352437
1.0326842,1.2920175,-0.1854924,-1.2566313,-1.628731,-3.2918203,-0.0057785697,-0.12439808,1.6844481,-0.0686086797115319,0.623688202307342
4.286782,2.2952235,-0.9016461,-1.0425996,0.34583133,0.43671682,1.005797,1.1077377,0.53062826,0.018287951494262,0.314716666162195
0.4639559,1.6198568,1.3079807,0.4420755,1.2451353,1.9213209,0.0017599746,0.026932018,2.895434,0.385787297584792,0.08912400646023
4.1026692,0.5337766,-0.29098547,0.19739264,0.95629454,1.6365058,-0.41558814,-0.96210897,-0.6178981,0.721137546336527,-0.026322119846557
-1.3947134,-0.885637,-0.36260796,0.3166243,-0.3015033,0.07256623,-0.06301033,-0.09232619,0.7781304,0.633117658719495,-0.0686086797115319
4.5694447,2.77233,0.6634256,0.3379962,1.1669453,1.2234324,-1.075264,-0.7790139,0.2748638,0.33462178104407,0.018287951494262
1.6401091,2.180297,1.4902405,1.785974,0.4256105,2.3718686,0.3693431,0.82723904,1.1009027,0.102179337479816,0.385787297584792
-1.9282784,-0.5129261,1.9733051,3.5152946,-0.28279856,-0.9238667,0.57565975,0.082904436,0.9229131,-0.0203131616772741,0.721137546336527
-0.49074906,0.6271841,-0.50847346,2.1268826,-0.72780234,-1.7183868,0.062995344,0.1550402,-0.30844945,-0.0675883961668998,0.633117658719495
-0.14789388,0.74348444,-0.7910338,2.155901,-1.1756293,0.09267068,-0.3329887,0.17894064,0.17116427,-0.0716763696268932,0.33462178104407
3.2304623,1.8657372,1.4928126,1.26137,2.1376,2.7726634,1.0056207,0.21813473,0.87736434,-0.055836287526795,0.102179337479816
4.147283,2.3034666,-1.1803734,-0.16832763,0.95600164,0.14804286,1.5537612,0.19850573,-0.2845124,-0.0355370432655365,-0.0203131616772741
0.15285984,-0.24094732,-3.556685,-2.744815,0.66245586,0.44818035,-0.98191124,-0.7481823,-0.22080982,0.0688869815749098,-0.0675883961668998
-1.4451139,-1.6127417,-1.9251812,-1.867175,0.25414056,0.07113294,-0.37542987,-0.46428177,-0.025183786,0.429772360885616,-0.0716763696268932
-0.6466375,-1.7642986,1.5031967,-0.7724076,-1.8813624,-1.9564,-0.42465985,0.24197166,-1.258563,0.7508296122703,-0.055836287526795
