L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
0.035892468,-3.4348483,-6.4500823,-7.713143,-4.1832743,-3.9234364,-2.858526,-1.8043414,-0.57344157,0.00112969346500733,0
-0.9771549,-2.3822217,-6.314358,-7.7313256,-4.786338,-4.5068197,-3.956319,-1.6025593,-0.7372457,0.113054609989902,0
4.702107,1.4918352,-2.0770738,-1.9804025,-1.2153608,-1.1314692,-2.3359463,0.6698088,2.7011645,0.4814319489687,0
5.961248,2.2885094,1.5781789,2.4891782,0.42617288,0.39193907,-0.76241446,1.7998251,4.2412896,0.764812356352437,0
3.8949485,2.2280426,2.1826513,2.3807728,1.6961143,1.3716583,-1.7804977,2.145136,3.289973,0.623688202307342,0.00112969346500733
5.2606006,3.1020987,2.236341,1.8824637,1.1363292,1.5152133,-0.5274274,1.4869165,3.635735,0.314716666162195,0.113054609989902
7.5552444,3.029726,3.3915946,1.6930221,1.0346838,0.42575848,-0.9004851,1.1581088,3.742831,0.08912400646023,0.4814319489687
7.22267,4.8918777,2.042941,2.076972,-0.30402827,-0.58359975,-1.6038622,0.12106621,3.6223295,-0.026322119846557,0.764812356352437
5.9196854,2.9683156,1.9325694,1.8691828,-0.8562869,-0.21917173,-0.5455311,1.8451995,3.918747,-0.0678730126335314,0.623688202307342
4.5811934,2.634037,2.3768854,1.0054284,-0.3191759,-0.59503496,-0.97364163,1.3469807,4.034904,0.0424814257508068,0.314716666162195
5.792998,3.0735695,1.3641696,0.54381615,0.19818,-0.116528444,-0.84217966,1.4240552,4.316214,0.427593487262564,0.08912400646023
4.821373,1.6738167,0.054578852,1.4828135,0.28844258,1.1714422,-1.3935444,0.9905424,2.478696,0.730724663823271,-0.026322119846557
3.2343616,1.1014432,0.96373844,0.9630967,0.95161223,0.9873283,-3.0854185,-0.35355872,1.6321124,0.60498311448698,-0.0678730126335314
1.7716095,0.2552615,0.27133518,-0.3287914,-1.3814563,-1.6785842,-1.022157,0.02116335,0.11986889,0.305588581429501,0.0424814257508068
4.7408113,4.016224,-0.18278669,0.10103292,-2.3062449,-2.5981371,-1.2982551,0.9358853,-0.798215,0.0850892688152043,0.427593487262564
3.7040958,2.2831354,0.066216454,1.4620478,-1.5998014,-2.5152617,-1.9934149,-0.39056996,-0.5591992,-0.0279603530225438,0.730724663823271
3.0756645,2.6274304,1.0222508,0.66098666,-0.8105736,-0.64476466,-1.2851259,0.5512118,2.5730689,-0.0695669775650166,0.60498311448698
4.263802,2.5491047,-0.23655833,-0.6568962,-0.0956642,-0.110433504,-0.9745343,0.23769853,1.6972826,-0.0706892084778917,0.305588581429501
3.653121,2.714828,-0.28833687,-1.8432795,0.2561222,0.70666504,-1.0821854,0.9300672,2.399539,-0.0538384617061353,0.0850892688152043
4.4566426,3.434122,-0.2268333,-2.2544339,0.30499244,0.6232779,-0.49386197,1.4459652,2.564035,-0.032957999064159,-0.0279603530225438
3.5146034,1.4093691,0.2370134,-1.4484638,1.1534855,1.0411034,-1.5250953,0.86539334,2.0538063,0.0943495221695402,-0.0695669775650166
2.9275908,3.789376,-0.6428896,0.23365392,0.2117644,-1.6600013,-2.4240355,0.28246891,-0.15027933,0.472303864236006,-0.0706892084778917
7.0328903,3.3360527,1.402989,2.9310625,0.23335312,0.7808826,-0.07564705,1.5913085,4.276051,0.760777618707412,-0.0538384617061353
5.114513,3.1446326,-0.5628523,1.0076747,-0.42050472,-1.1714361,-2.4437733,0.281325,1.1394348,0.622049969131355,-0.0340876925291663
8.41508,6.346071,5.252558,0.98642844,-0.011333735,-0.8009409,0.27355427,1.9007518,7.674526,0.315282088160725,-0.0187050878203617
-2.2074375,1.4106016,-9.541403,-8.27488,-1.4111938,-2.0663664,-6.3443675,-5.3868732,-16.961588,0.202062592211335,-0.00912808473269391
-5.421667,-8.197485,-8.433029,-10.280832,-2.1638305,-3.4082506,-5.931894,-5.327446,-34.17677,0.455109829122142,-0.00403473764502571
-1.8074951,-0.35914302,3.745661,0.061834242,1.5595486,1.3675877,1.5167493,0.6837428,-5.3637137,0.695809650253899,-0.00163823317598674
-3.6785293,-1.0208011,3.541538,4.0421133,-2.0453906,-2.5495372,-1.9014996,-3.425068,4.665832,0.553115018068247,-0.000170245079470972
-0.98743397,-0.15269734,4.380386,1.9413604,-0.1169355,0.06489073,-1.1209018,-2.2444596,1.6148193,0.26087820445606,0.0887451114945605
0.20070197,2.8165967,1.2387624,1.3222542,-1.0614804,-0.59616625,1.5043968,-0.6709148,-0.052509163,0.0550363139310637,0.439625759290927
-0.09045125,-0.13672806,3.0229237,2.7169108,-1.1697122,-1.2924182,2.5725906,-0.97854555,-2.2767348,-0.0450272076669187,0.755225238865694
-1.4999477,0.10042332,2.924272,2.625327,0.04849,-0.0056593637,2.3901637,-0.80735344,1.8666099,-0.0781307908312326,0.651822746539856
-0.16388226,0.57566977,4.2513967,1.8303797,1.7031927,2.4364395,2.2044535,0.8685451,3.4873018,-0.0746079218841208,0.34414389216377
-2.7686446,0.039011378,0.4808703,-1.4171661,0.2017337,1.0921296,0.67773896,-1.2414384,1.1925786,-0.055476694882122,0.195075210858199
-2.0302124,-0.65240806,-0.77793944,-0.64177597,-0.4906947,0.3776739,1.2126514,-0.41848126,1.3570719,-0.0346519639956442,0.42095083078964
-3.646808,-3.1414478,0.5882516,0.5663357,-0.21134433,0.0721996,1.592264,-0.40611145,-1.0031056,-0.0188211120591583,0.688201114165272
-2.3639984,-0.7673913,2.5677233,1.8432542,0.72369754,1.6866271,1.7064718,-0.26786026,-0.98765486,-0.00912808473269391,0.58026240115176
-1.0693527,0.1364265,0.35188338,-1.3263097,0.15074264,0.41027954,0.6982459,-0.32843244,-0.008457694,-0.00403473764502571,0.288307604636975
-1.8457136,-0.67404115,0.30401114,-0.20076661,1.0603836,0.10480485,1.5232154,-0.48547518,1.6565409,-0.00163823317598674,0.159144141205656
-2.1191142,0.46191987,1.3577018,0.7367026,0.7593015,0.033553414,1.3161398,-0.7719294,3.1604128,-0.000564271466477839,0.400976676631192
-2.0611558,1.1990712,3.3606122,1.7169849,-0.17301351,-0.037697807,2.0186782,0.29102755,-2.7163844,-0.000116024238796585,0.678347715759961
-3.4055626,3.5552707,2.1408641,2.2492552,0.53437006,1.4517299,2.462384,0.5292796,-1.3635702,0.000394026387006866,0.575866774556366
-2.134587,1.1317074,2.0578363,0.97877395,1.6744919,1.4884889,1.7228522,-0.4854105,-0.8788361,0.0888611357333571,0.286114573254366
-0.08254459,0.4640966,1.0373085,0.8550809,1.3404843,0.8504902,1.2158593,-0.9130412,-1.9661036,0.439625759290927,0.0696448347461687
-0.7109762,1.6060098,1.0870919,2.1839864,-0.41403311,-1.3518296,3.078629,0.06521009,-0.6042279,0.755225238865694,-0.0387924885683847
